Waterbody Name,Waterbody ID Code (WBIC),Invasive Species
Ginty Lake,1571300,Chinese Mystery Snail
Green Bass Lake,987800,Rusty Crayfish
Hancock Lake,1517900,"Banded Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Rusty Crayfish"
Hasbrook Lake,1589100,"Chinese Mystery Snail, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Hat Rapids Flowage,1567325,Chinese Mystery Snail
Hodstradt Lake,990700,"Chinese Mystery Snail, Purple Loosestrife"
Horsehead Lake,1588000,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Indian Lake,1598900,Chinese Mystery Snail
Island Lake,1610500,"Chinese Mystery Snail, Purple Loosestrife, Rusty Crayfish"
Jennie Webber Lake,1574300,Chinese Mystery Snail
Johnson Creek,1540800,Eurasian Water-Milfoil
Johnson Lake,1541100,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Julia Lake,1614300,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife, Rusty Crayfish"
Kathan Lake,1598300,"Chinese Mystery Snail, Eurasian Water-Milfoil"
Katherine Lake,1543300,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife"
Kaubashine Creek,1533300,Rusty Crayfish
Kawaguesaga Lake,1542300,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Flowering Rush, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Lake Creek,1580500,"Chinese Mystery Snail, Rusty Crayfish"
Lake Julia,995000,"Chinese Mystery Snail, Purple Loosestrife, Yellow Iris"
Lake Nokomis,1516500,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Lake Samway,996000,Chinese Mystery Snail
Lake Thompson,1569900,"Chinese Mystery Snail, Rusty Crayfish"
Laurel Lake,1611800,"Chinese Mystery Snail, Rusty Crayfish"
Little Bearskin Lake,1523500,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Rusty Crayfish, Yellow Iris"
Little Carr Lake,998800,Purple Loosestrife
Little Fork Lake,1610600,"Chinese Mystery Snail, Rusty Crayfish"
Little Rice Creek,1516900,Eurasian Water-Milfoil
Little Rice River,1520600,Chinese Mystery Snail
Little St Germain Creek,1596000,Rusty Crayfish
Little Tomahawk Lake,1543900,"Chinese Mystery Snail, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Lone Stone Lake,1605600,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil"
Long Lake,1609000,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Lost Lake,1575100,Chinese Mystery Snail
Lower Kaubashine Lake,1534800,"Purple Loosestrife, Rusty Crayfish"
Madeline Lake,1544700,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Manson Creek,1517000,Banded Mystery Snail
Manson Lake,1517200,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife"
Maple Lake,1609900,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife"
McNaughton Lake,1587600,Purple Loosestrife
Medicine Lake,1611700,"Banded Mystery Snail, Chinese Mystery Snail"
Mercer Lake,1538900,"Chinese Mystery Snail, Purple Loosestrife, Rusty Crayfish"
Meta Lake,1004400,Chinese Mystery Snail
Mid Lake,1542600,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Flowering Rush, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Mildred Lake,1004600,Chinese Mystery Snail
Minocqua Lake,1542400,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Flowering Rush, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Minocqua Thoroughfare,1544400,"Banded Mystery Snail, Eurasian Water-Milfoil, Flowering Rush, Purple Loosestrife, Rusty Crayfish"
Moccasin Lake,1612100,Chinese Mystery Snail
Moen Lake,1573800,"Chinese Mystery Snail, Rusty Crayfish"
Mud Lake,1544000,"Chinese Mystery Snail, Eurasian Water-Milfoil"
Mud Lake,1612500,Banded Mystery Snail
Muskellunge Lake,1595600,"Chinese Mystery Snail, Yellow Iris"
Muskie Creek,1523700,Chinese Mystery Snail
North Nokomis Lake,1595800,"Banded Mystery Snail, Chinese Mystery Snail, Rusty Crayfish"
North Two Lakes,1007500,Purple Loosestrife
Nose Lake,1008200,Chinese Mystery Snail
Oneida Lake,1518200,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Paradise Lake,1009400,Chinese Mystery Snail
Pelican Lake,1579900,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Ornamental water lilies (non-native Nymphaea sp.), Purple Loosestrife, Rusty Crayfish"
Pelican River,1567800,"Chinese Mystery Snail, Rusty Crayfish"
Perch Lake,1010800,Chinese Mystery Snail
Perch Lake,1011100,Chinese Mystery Snail
Pickerel Lake,1583000,"Banded Mystery Snail, Curly-Leaf Pondweed"
Pickerel Lake,1590400,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Pickerel Lake,1597200,Chinese Mystery Snail
Pier Lake,1529700,Chinese Mystery Snail
Planting Ground Lake,1609100,"Chinese Mystery Snail, Purple Loosestrife, Rusty Crayfish"
Rainbow Flowage,1595300,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Rusty Crayfish"
Range Line Lake,1610300,"Chinese Mystery Snail, Rusty Crayfish"
Rhinelander Flowage,1580100,"Chinese Mystery Snail, Curly-Leaf Pondweed, Phragmites (non-native), Rusty Crayfish, Yellow Iris"
Rice Creek,1518000,Banded Mystery Snail
Rice River Flowage*(Nokomis),1516400,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Rocky Run Flowage,1525500,Chinese Mystery Snail
Round Lake,1610400,Rusty Crayfish
Sand Lake,1597000,"Chinese Mystery Snail, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Scott Creek,1526900,Rusty Crayfish
Sevenmile Lake,1605800,Rusty Crayfish
Shepard Lake,1576100,Chinese Mystery Snail
Shishebogama Lake,1539600,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Spirit Lake,1612000,"Chinese Mystery Snail, Purple Loosestrife"
Spring Lake,1611100,Chinese Mystery Snail
Spur Lake,1571800,Purple Loosestrife
Squash Lake,1019500,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Squash Lake,1019600,Rusty Crayfish
Squirrel Lake,1536300,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Squirrel River,1535300,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
St Germain River,1590700,Yellow Iris
Starks Creek,1572400,Chinese Mystery Snail
Stella Lake,1575700,Chinese Mystery Snail
Stone Lake,1020200,Chinese Mystery Snail
Stone Lake,1597600,"Chinese Mystery Snail, Rusty Crayfish"
Sugar Camp Creek,1596700,"Chinese Mystery Snail, Eurasian Water-Milfoil"
Sunday Lake,1020600,Chinese Mystery Snail
Sunset Lake,1572500,"Chinese Mystery Snail, Yellow Iris"
Sureshot Lake,1021000,"Purple Loosestrife, Reed Manna Grass, Yellow Iris"
Swamsauger Lake,1528700,Chinese Mystery Snail
Sweeney Creek,1589400,"Curly-Leaf Pondweed, Purple Loosestrife"
Sweeny Lake,1589600,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
The Thoroughfare,1613400,Chinese Mystery Snail
Third Lake,1572200,Chinese Mystery Snail
Thunder Lake,1618100,"Banded Mystery Snail, Chinese Mystery Snail"
Tom Doyle Lake,1586800,Chinese Mystery Snail
Tomahawk Lake,1542700,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Tomahawk River,1515800,"Banded Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Japanese knotweed (Fallopia japonica), Purple Loosestrife, Rusty Crayfish"
Tomahawk Thoroughfare,1542500,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Flowering Rush, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Townline Creek,1609500,Eurasian Water-Milfoil
Townline Lake,1023100,Chinese Mystery Snail
Townline Lake,1609600,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Twin Lakes Creek,1571200,Purple Loosestrife
Two Sisters Lake,1588200,"Banded Mystery Snail, Chinese Mystery Snail, Rusty Crayfish"
Upper Kaubashine Lake,1535000,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Upper Post Lake,399200,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Venus Lake,1577000,Rusty Crayfish
Virgin Lake,1614100,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Washburn Lake,1178000,Chinese Mystery Snail
Whitefish Lake,1613500,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Willow Flowage,1528300,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Willow Lake,1529500,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Willow River,1529100,"Chinese Mystery Snail, Rusty Crayfish"
Wisconsin River,1179900,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Yellow Iris"
Wolf River,241300,Eurasian Water-Milfoil
Outagamie County (37),,
Apple Creek,124100,"Round Goby, Rusty Crayfish"
Black Otter Creek,315300,"Chinese Mystery Snail, Curly-Leaf Pondweed, Faucet Snail"
Black Otter Lake (Hortonville),315600,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Faucet Snail"
Duck Creek,409700,"Curly-Leaf Pondweed, Rusty Crayfish"
Embarrass River,291900,Rusty Crayfish
Fox River,117900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Phragmites (non-native), Purple Loosestrife, Round Goby, Spiny Waterflea, Zebra Mussel"
Herman Creek,318000,Rusty Crayfish
Kankapot Creek,126800,"Phragmites (non-native), Purple Loosestrife, Rusty Crayfish"
Mud Creek,129500,Japanese knotweed (Fallopia japonica)
Partridge Crop Lake,272000,Rusty Crayfish
Trout Creek,410200,Rusty Crayfish
Unnamed,124300,Round Goby
Unnamed,124600,Round Goby
Unnamed,124700,Round Goby
Unnamed,124800,Round Goby
Unnamed,128000,Japanese knotweed (Fallopia japonica)
Unnamed,410300,Rusty Crayfish
Unnamed,3000577,Rusty Crayfish
Unnamed,5016644,Rusty Crayfish
Unnamed,5016701,Rusty Crayfish
Unnamed,5016781,Rusty Crayfish
Unnamed,5017081,Rusty Crayfish
Unnamed,5017103,Rusty Crayfish
Unnamed,5017147,Rusty Crayfish
Unnamed,5017171,Rusty Crayfish
Unnamed,5017728,Rusty Crayfish
Unnamed,5018095,Purple Loosestrife
Unnamed,5018352,"Purple Loosestrife, Rusty Crayfish"
Unnamed,5018353,Purple Loosestrife
Unnamed,5018448,"Purple Loosestrife, Rusty Crayfish"
Unnamed,5018663,Purple Loosestrife
Unnamed,5018723,Purple Loosestrife
Unnamed,5020419,Round Goby
Unnamed,5020594,Round Goby
Unnamed,5020744,Round Goby
West Branch Suamico River,411600,Rusty Crayfish
Wolf River,241300,"Purple Loosestrife, Rusty Crayfish"
Ozaukee County (32),,
Barton Pond,35400,Eurasian Water-Milfoil
Campbellsport Millpond,43300,Eurasian Water-Milfoil
Cedar Creek,21300,"Curly-Leaf Pondweed, Japanese knotweed (Fallopia japonica), Purple Loosestrife, Round Goby, Rusty Crayfish"
Cedarburg Pond 121,21700,Round Goby
Hawthorne Hills Pond,9300,Curly-Leaf Pondweed
Kinnickinnic River,15100,"Curly-Leaf Pondweed, Round Goby"
Lake Michigan,20,"Eurasian Water-Milfoil, Zebra Mussel"
Little Menomonee Creek,17900,Round Goby
Little Menomonee River,17600,"Round Goby, Rusty Crayfish"
Milwaukee River,15000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Flowering Rush, Purple Loosestrife, Round Goby"
Newburg Pond,34300,Eurasian Water-Milfoil
North Branch Milwaukee River,27100,Rusty Crayfish
Pit Lake,11200,Eurasian Water-Milfoil
Sauk Creek,49500,Rusty Crayfish
Silver Creek,29900,Rusty Crayfish
Spring Lake,30500,Eurasian Water-Milfoil
Unnamed,17700,Round Goby
Unnamed,22000,Rusty Crayfish
Unnamed,3000410,Round Goby
Unnamed,5031972,Rusty Crayfish
Unnamed,5033610,Round Goby
Unnamed,5033894,Round Goby
Unnamed,5033916,Round Goby
Unnamed,5034026,Round Goby
Unnamed,5034063,Round Goby
Unnamed,5034065,Round Goby
Unnamed,5034414,Round Goby
Unnamed,5034914,Round Goby
Unnamed,5565295,Eurasian Water-Milfoil
Unnamed,5565316,Eurasian Water-Milfoil
Unnamed,5569225,Eurasian Water-Milfoil
Unnamed,5573358,Round Goby
Pepin County (9),,
Browning Lake,2063300,Curly-Leaf Pondweed
Chippewa River,2050000,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Chippewa River -Un Channel,2054100,Curly-Leaf Pondweed
Dead Lake,2054200,Curly-Leaf Pondweed
Lake Pepin,731800,"Asiatic Clam (Corbicula), Curly-Leaf Pondweed, Daphnia lumholtzii , Eurasian Water-Milfoil, Quagga Mussel, Zebra Mussel"
Mississippi River ,721000,"Asiatic Clam (Corbicula), Eurasian Water-Milfoil, Quagga Mussel"
Silver Birch Lake,2054600,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Thompson Lake,2055200,"Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Unnamed,2120600,"Eurasian Water-Milfoil, Rusty Crayfish"
Pierce County (14),,
Dead Slough Lake,732200,Purple Loosestrife
Eau Galle River,2055000,Curly-Leaf Pondweed
"Kinnickinnic Pond, Lower",2603000,Curly-Leaf Pondweed
Kinnickinnic River,2601800,Curly-Leaf Pondweed
Lake George,2059800,Curly-Leaf Pondweed
Lake Pepin,731800,"Asiatic Clam (Corbicula), Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Quagga Mussel, Zebra Mussel"
Lake Saint Croix,2601500,"Asiatic Clam (Corbicula), Curly-Leaf Pondweed, Eurasian Water-Milfoil, Rusty Crayfish, Zebra Mussel"
Lily Pond,732000,Purple Loosestrife
Mississippi River ,721000,"Asiatic Clam (Corbicula), Eurasian Water-Milfoil, Purple Loosestrife, Quagga Mussel, Zebra Mussel"
Nugget Lake,2053400,Curly-Leaf Pondweed
Rush River,2440300,"Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Saint Croix River,2601400,"Asiatic Clam (Corbicula), Curly-Leaf Pondweed"
Unnamed,5006993,Asiatic Clam (Corbicula)
Wisconsin Channel,731900,Purple Loosestrife
Polk County (116),,
Alabama Lake,2449200,"Curly-Leaf Pondweed, Phragmites (non-native)"
Andrus Lake,2668600,Curly-Leaf Pondweed
Antler Lake,2449400,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Apple River,2614000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish"
Apple River Flowage,2624200,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Balsam Br,2618300,"Curly-Leaf Pondweed, Rusty Crayfish"
Balsam Lake,2620600,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Japanese knotweed (Fallopia japonica), Purple Loosestrife, Yellow Iris, Zebra Mussel"
Bass Creek,2619700,Curly-Leaf Pondweed
Bass Lake,2450800,Chinese Mystery Snail
Bear Trap Lake,2618100,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Zebra Mussel"
Big Blake Lake,2627000,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Big Butternut Lake,2641000,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Big Lake,2615900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Yellow Iris"
Big Round Lake,2627400,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Black Brook Flowage,2621900,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Rusty Crayfish"
Bone Lake,2454400,Banded Mystery Snail
Bone Lake,2628100,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish, Zebra Mussel"
Butternut Creek,2640600,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Camelia Lake,2079400,"Banded Mystery Snail, Chinese Mystery Snail"
Cedar Lake,2615100,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Japanese knotweed (Fallopia japonica), Rusty Crayfish, Yellow Iris"
Church Pine Lake,2616100,"Chinese Mystery Snail, Yellow Iris"
Clam Falls Flowage,2666400,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Clam River,2654200,Eurasian Water-Milfoil
Clear Lake,2623500,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Coon Lake,2642000,Yellow Iris
Deer Lake,2619400,"Chinese Mystery Snail, Curly-Leaf Pondweed, Japanese knotweed (Fallopia japonica), Rusty Crayfish, Yellow Iris, Zebra Mussel"
Diamond Lake,2461200,Chinese Mystery Snail
Gabrielson Lake,2639200,Chinese Mystery Snail
Grenquist Lake,2669300,"Chinese Mystery Snail, Purple Loosestrife"
Half Moon Lake,2621100,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Rusty Crayfish, Yellow Iris"
Harder Creek,2620900,"Eurasian Water-Milfoil, Yellow Iris"
Herby Lake,2468900,Curly-Leaf Pondweed
Horse Lake,2616200,"Curly-Leaf Pondweed, Yellow Iris"
Horseshoe Lake,2630100,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife"
Indianhead Flowage,2634400,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Yellow Iris, Zebra Mussel"
Joel Flowage,2625700,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Lake O&#39; the Dalles,2634200,Curly-Leaf Pondweed
Lake Saint Croix,2601500,Asiatic Clam (Corbicula)
Largon Creek,2667800,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Largon Lake,2668100,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Little Bass Lake,2619800,Curly-Leaf Pondweed
Little Blake Lake,2627300,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Little Butternut Lake,2640700,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Yellow Iris"
Little Mirror Lake,2477100,"Chinese Mystery Snail, Purple Loosestrife"
Long Lake,2478200,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Long Lake,2631600,Chinese Mystery Snail
Long Trade Lake,2640500,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Lotus Lake,2616900,"Curly-Leaf Pondweed, Purple Loosestrife"
Loveless Lake,2620000,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Lower Pine Lake,2479900,"Chinese Mystery Snail, Rainbow Smelt, Yellow Iris"
Magnor Lake,2624600,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
McKenzie Creek,2666600,Curly-Leaf Pondweed
McKenzie Lake,2667300,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Mud Lake,2615700,Chinese Mystery Snail
Mud Lake,2619100,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Nepadoggen Creek,2624500,"Banded Mystery Snail, Purple Loosestrife"
North Branch Beaver Brook,2625500,"Chinese Mystery Snail, Curly-Leaf Pondweed"
North Pipe Lake,2485700,"Banded Mystery Snail, Chinese Mystery Snail"
North Twin Lake,2623900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife"
Osceola Creek,2632700,Rusty Crayfish
Paulsen Lake,2488000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Yellow Iris"
Pike Lake,2624000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Pine Lake,2489900,Chinese Mystery Snail
Pine Lake,2490400,"Chinese Mystery Snail, Yellow Iris"
Pipe Lake,2490500,Chinese Mystery Snail
Poplar Lake,2491000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Yellow Iris"
Rice Lake,2615400,Chinese Mystery Snail
Round Lake,2494000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Round Lake,2616400,"Curly-Leaf Pondweed, Yellow Iris"
Saint Croix River,2601400,"Asiatic Clam (Corbicula), Curly-Leaf Pondweed, Eurasian Water-Milfoil, Yellow Iris, Zebra Mussel"
Sand Lake,2495000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Phragmites (non-native)"
Sandhill Lake,2495400,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Silver Lake,2496700,Chinese Mystery Snail
Skinaway Lake,2497300,"Chinese Mystery Snail, Purple Loosestrife"
Somers Creek,2665800,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Somers Lake,2665900,"Chinese Mystery Snail, Curly-Leaf Pondweed"
South Twin Lake,2623800,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
St Croix River -Close Slough,2633400,Eurasian Water-Milfoil
Staples Lake,2631200,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Straight Lake,2627800,"Banded Mystery Snail, Chinese Mystery Snail"
Straight River,2626900,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Swede Lake,2500500,Chinese Mystery Snail
Tarbert Lake,2501000,Curly-Leaf Pondweed
Toby Creek,2619000,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Trade River,2636000,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Unnamed,2618700,"Curly-Leaf Pondweed, Purple Loosestrife"
Unnamed,2618900,Curly-Leaf Pondweed
Unnamed,2631300,Chinese Mystery Snail
Unnamed,2633100,Rusty Crayfish
Unnamed,2658800,Curly-Leaf Pondweed
Unnamed,5004912,Curly-Leaf Pondweed
Unnamed,5005063,Curly-Leaf Pondweed
Unnamed,5005207,Chinese Mystery Snail
Unnamed,5005453,Banded Mystery Snail
Unnamed,5005975,"Eurasian Water-Milfoil, Yellow Iris, Zebra Mussel"
Unnamed,5006000,"Eurasian Water-Milfoil, Yellow Iris, Zebra Mussel"
Unnamed,5006441,"Curly-Leaf Pondweed, Purple Loosestrife"
Unnamed,5006622,Banded Mystery Snail
Unnamed,5006993,"Asiatic Clam (Corbicula), Curly-Leaf Pondweed"
Unnamed,5517596,Banded Mystery Snail
Unnamed,5517635,Banded Mystery Snail
Unnamed,5517764,Banded Mystery Snail
Unnamed,5517944,Banded Mystery Snail
Unnamed,5518205,Banded Mystery Snail
Unnamed,5518249,Banded Mystery Snail
Unnamed,5518714,Chinese Mystery Snail
Unnamed,5520226,Banded Mystery Snail
Unnamed,5583543,Banded Mystery Snail
Vincent Lake,2598500,Yellow Iris
Wapogasset Br,2617700,"Japanese knotweed (Fallopia japonica), Yellow Iris"
Wapogasset Lake,2618000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Japanese knotweed (Fallopia japonica), Yellow Iris, Zebra Mussel"
Ward Lake,2599400,Chinese Mystery Snail
White Ash Lake,2628600,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
White Ash Lake,2628800,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Willow River,2606900,Rusty Crayfish
Wind Lake,2616000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Yellow Iris"
Portage County (100),,
Adams Lake,267800,"Banded Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Yellow Iris"
Amherst Millpond,268200,"Banded Mystery Snail, Curly-Leaf Pondweed, Japanese knotweed (Fallopia japonica), Purple Loosestrife, Rusty Crayfish"
Bear Creek,267400,"Curly-Leaf Pondweed, Rusty Crayfish"
Bear Lake,181900,"Chinese Mystery Snail, Eurasian Water-Milfoil"
Bentley Pond (Dana Pond),1404500,"Chinese Mystery Snail, Curly-Leaf Pondweed, Flowering Rush"
Big Eau Pleine River,1427200,Purple Loosestrife
Biron Flowage,1396900,"Eurasian Water-Milfoil, Yellow Iris"
Collins Lake,270200,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil"
Ebert Lake,267700,Banded Mystery Snail
Flume Creek,286600,Rusty Crayfish
Fountain Lake,262200,Banded Mystery Snail
Glisezinski Lake,987100,Yellow Iris
Jordan Pond,1403600,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Lake Du Bay,1412200,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish"
Lake Emily,189800,"Banded Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Flowering Rush, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Lake Helen,287200,"Banded Mystery Snail, Eurasian Water-Milfoil, Spiny Naiad, Zebra Mussel"
Lake Joanis,3000096,"Chinese Mystery Snail, Eurasian Water-Milfoil"
Lake Lime,190100,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Lake Pacawa,1036400,Hybrid Eurasian / Northern Water-Milfoil
Lake Susan,996300,"Eurasian Water-Milfoil, Purple Loosestrife"
Little Eau Claire River,1423300,Purple Loosestrife
Little Plover River,1402100,"Ornamental water lilies (non-native Nymphaea sp.), Yellow Iris"
Little Wolf River,272400,Rusty Crayfish
McDill Pond,1403200,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Japanese knotweed (Fallopia japonica), Phragmites (non-native), Rusty Crayfish"
Mill Creek,1398600,"Eurasian Water-Milfoil, Rusty Crayfish"
Mosquito Creek,1396600,Rusty Crayfish
Onland Lake,195100,"Banded Mystery Snail, Chinese Mystery Snail"
Pac-A-Wa Lake,1009300,Eurasian Water-Milfoil
Pickerel Lake,195900,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Phragmites (non-native)"
