Waterbody Name,Waterbody ID Code (WBIC),Invasive Species
Sand Creek,2659400,Purple Loosestrife
Sand Lake,2661100,"Chinese Mystery Snail, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Scott Lake,2630700,Chinese Mystery Snail
Shallow Lake,1880600,"Chinese Mystery Snail, Eurasian Water-Milfoil"
Silver Lake,1881100,Chinese Mystery Snail
Skinaway Lake,2497300,Chinese Mystery Snail
Staples Lake,2631200,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Stump Lake,2104100,Curly-Leaf Pondweed
Sucker Creek,2112200,Rusty Crayfish
Sylvan Lake,1884800,"Chinese Mystery Snail, Purple Loosestrife"
Tenmile Lake,2089500,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Turtle Creek,2078300,"Japanese Mystery Snail, Purple Loosestrife"
Tuscobia Creek,2104200,Curly-Leaf Pondweed
Tuscobia Lake,2104300,Curly-Leaf Pondweed
Unnamed,2100000,"Chinese Mystery Snail, Purple Loosestrife"
Unnamed,2630300,Chinese Mystery Snail
Unnamed,5004788,"Chinese Mystery Snail, Purple Loosestrife"
Unnamed,5007148,Purple Loosestrife
Unnamed,5527147,Purple Loosestrife
Upper Turtle Lake,2079800,"Chinese Mystery Snail, Curly-Leaf Pondweed, Japanese Mystery Snail, Purple Loosestrife"
Upper Vermillion Lake,2098800,Curly-Leaf Pondweed
Willow River,2606900,Rusty Crayfish
Bayfield County (59),,
Atkins Lake,2734000,Yellow Iris
Bark River,2881000,Queen of the meadow (Filipendula ulmaria)
Birch Run,2884600,Purple Loosestrife
Breakfast Lake,2454800,Eurasian Water-Milfoil
Buskey Bay,2903800,"Chinese Mystery Snail, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Cable Lake,2729700,"Purple Loosestrife, Yellow Iris"
Chequamegon Bay,2753770,Eurasian Water-Milfoil
Cisco Lake,2899200,Rainbow Smelt
Crystal Lake,2897300,Chinese Mystery Snail
Diamond Lake,2897100,"Banded Mystery Snail, Chinese Mystery Snail, Rainbow Smelt"
Eagle Lake,2902900,"Chinese Mystery Snail, Eurasian Water-Milfoil"
East Fork White River,2901200,Chinese Mystery Snail
Eau Claire River,2740700,"Banded Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Fish Creek,2871500,Purple Loosestrife
Flynn Lake,2902800,Eurasian Water-Milfoil
Fondeau Creek,2729300,Purple Loosestrife
Garden Lake,2735500,Chinese Mystery Snail
Half Moon Lake,2762700,Ornamental water lilies (non-native Nymphaea sp.)
Hart Lake,2903200,Eurasian Water-Milfoil
Hildur Lake,2902600,Chinese Mystery Snail
Iron River,2872000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Yellow Iris"
Jackson Creek,2734300,"Chinese Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Jackson Lake,2734200,"Chinese Mystery Snail, Eurasian Water-Milfoil, Purple Loosestrife"
Lake Delta,2901700,Chinese Mystery Snail
Lake Millicent,2903700,"Banded Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Lake Owen,2900200,"Chinese Mystery Snail, Phragmites (non-native), Yellow Iris"
Lake Ruth,2765900,Rusty Crayfish
Lake Superior,2751220,Rainbow Smelt
Lake Superior -Un Lake,2890600,"Eurasian Water-Milfoil, Purple Loosestrife"
Lake Tahkodah,2473500,Banded Mystery Snail
Long Lake,2767100,"Japanese knotweed (Fallopia japonica), Purple Loosestrife, Rusty Crayfish"
